wikidata,studentCount,studentYear,establishedYear,officialWebsite
Q4119316,1671,,1822,https://www.hws.edu/
Q240784,,,1976,https://www.yu.edu.jo/
Q7058805,3374,,1901,
Q4059259,,,1899,
Q133811924,,,2011,https://www.ens-lagh.dz
Q11516436,,,1963,https://www.ariake-nct.ac.jp/
Q30293953,,,,
Q9091601,,,1984,
Q7633375,,,2004,https://www.sudren.edu.sd/
Q5974869,,,2011,https://www.itmuniversity.ac.in
Q2511081,,,,https://www.mboraad.nl
Q14707079,337,,1911,
Q5024513,245,,1876,
Q140045830,,,,https://naprapathogskolan.se
Q18125231,,,2013,
Q1695578,2771,,1934,https://salve.edu/
Q7896286,,,1995,https://ust.edu.sd/
Q135738658,,,2011,https://fomicgroup.cm
Q97041704,,,2018,https://www.kp.dk
Q11141318,,,1902,
Q140908401,,,1999,https://yapnasjp.ac.id
Q7227029,,,1982,https://www.ipcb.pt
Q4336188,,,1930,
Q129571872,,,2009,https://utdeoriental.edu.mx
Q11899153,,,1924,
Q4973675,,,1959,
Q1805145,4885,,1906,
Q3551466,2831,,1891,https://www.northpark.edu/
Q553064,,,1984,
Q5953378,,,1967,
Q130314565,,,1996,https://ump.edu.mx
Q126208879,,,,https://unifacc.com.br/faculdade-catolica-de-varzea-grande/
Q5250023,,,1957,https://www.ddugu.ac.in
Q8047644,,,1968,https://www.y-gakugei.ac.jp/
Q5926073,,,1997,
Q30257971,,,1947,https://www.cccd.edu/Pages/home.aspx
Q141195196,,,,https://kkjerai.mypolycc.edu.my
Q14687535,4485,,1991,
Q30293880,,,,
Q7894275,,,1982,
Q116455355,,,1989,https://annaicollege.edu.in
Q6039029,,,1986,https://www.utb.edu.bn/
Q30294358,,,1991,
Q15982755,,,1975,https://clepul.letras.ulisboa.pt/home.php
Q12061441,,,2017,https://www.mitwpu.edu.in
Q7271572,,,,https://qerc.snu.edu
Q7401663,,,1964,
Q2983622,,,1908,
Q2564313,19022,,1938,
Q16093197,,,1994,
Q30257486,,,1990,
Q129343183,,,2024,
Q7415442,,,2009,
Q43895724,,,1984,
Q7813624,,,1909,
Q985808,,,1934,
Q16902371,,,2010,
Q1961570,,,1921,
Q7566644,2339,,1896,
Q4832590,,,2010,https://azimpremjiuniversity.edu.in
Q9380745,,,2001,
Q1247342,,,2004,https://www.mruni.eu/
Q4901212,,,1964,https://www.bvuniversity.edu.in/
Q30294340,,,,
Q13018778,,,,
Q3064281,,,1974,
Q3443893,18000,,1871,
Q130882731,,,2018,https://www.aiu.edu.kz
Q136696860,,,2016,https://www.sfms.edu.sg
Q1755561,,,2001,
Q43896691,,,2009,
Q85093649,,,2009,
Q6809087,,,2001,
Q7927115,,,2003,
Q1331280,4307,,1954,https://www.usafa.af.mil/
Q1047780,,,1980,https://www.nedo.go.jp/
Q7808684,,,1969,
Q5142094,,,1885,
Q12523373,,,1994,
Q137911079,,,2018,https://phsu.edu/about/locations-and-visits/st-louis.php
Q30263774,,,1999,
Q16976541,,,2010,https://monad.edu.in
Q7285978,,,1970,
Q7488458,,,1952,
Q136663702,,,1994,https://www.kism.ac.ke
Q7182919,799,,1877,
Q530424,2735,,1859,
Q812573,21334,,1845,https://www.baylor.edu/
Q1325937,,,1962,https://www.uan.ao/
Q476521,,,1960,https://www.kmutt.ac.th/
Q3366382,,,1847,https://www.iitr.ac.in
Q12060475,,,1940,
Q7894359,,,1974,
Q3551393,,,1990,
Q100942461,,,,
Q940234,,,2005,
Q28979049,,,1821,https://www.hw.ac.uk/malaysia/
Q48798645,,,2011,
Q141194971,,,1996,https://www.ati.edu.my
Q11494249,,,1978,
Q129343814,,,2021,
Q25531811,,,,https://www.bstu.uz/
Q7690168,2110,,1846,https://www.taylor.edu/
Q8047101,3954,,1928,
Q25110403,,,2007,https://villacollege.edu.mv
Q7894276,,,2010,
Q30265179,,,1976,
Q17152129,,,1997,
Q1146766,,,1922,
Q482658,,,1981,
Q5103051,27054,,1975,https://www.uniport.edu.ng/
Q7294576,7080,,1965,
Q7569110,,,1952,https://www.southampton-city.ac.uk
Q21574121,,,1977,
Q135739061,,,2016,https://www.clinicalsexologyphd.org
Q16170648,,,2012,
Q61931599,,,1964,https://www.kent.edu/geauga
Q6040322,,,1924,
Q7031784,,,1996,https://apwb.pl/
Q4320486,,,1913,
Q4823243,181,,1902,
Q10302765,,,1997,
